Parent Airline,Airline,Aircraft Type,Current,Future,Historic,Total,Unit Cost,Total Cost (Current),Average Age
Hainan Airlines,China Xinhua Airlines (100%),Boeing 737,5,,12,17,$74,$370,12.1
Hainan Airlines,Lucky Air (86.68%),Boeing 737,26,2,6,34,$74,"$1,923",5.3
Hainan Airlines,Urumqi Airlines (70%),Boeing 737,9,,,9,$74,$666,5.6
Hainan Airlines,Chang An Airlines (67.01%),Boeing 737-800,3,,,,$96,$288,
Hainan Airlines,Hainan Airlines,Boeing 767,3,,2,5,$187,$561,14.1
Hawaiian Airlines,Hawaiian Airlines,Airbus A321,,,,,$115,$0,
Hawaiian Airlines,Hawaiian Airlines,Airbus A330,23,,,23,$240,"$5,520",3.7
Hawaiian Airlines,Hawaiian Airlines,Boeing 717,18,2,1,21,$37,$666,15.3
Hawaiian Airlines,Hawaiian Airlines,Boeing 767,8,,10,18,$187,"$1,495",17.8
IAG,British Airways,Airbus A318,2,,,2,$66,$133,7.3
IAG,British Airways,Airbus A319,44,,,44,$90,"$3,942",15
IAG,Aer Lingus,Airbus A319,,,4,4,$90,$0,
IAG,British Airways,Airbus A320,67,,11,78,$98,"$6,566",10.5
IAG,Iberia Express,Airbus A320,18,,12,30,$98,"$1,764",13
IAG,Aer Lingus,Airbus A320,34,,6,40,$98,"$3,332",10.9
IAG,British Airways,Airbus A321,18,,,18,$115,"$2,068",11.2
IAG,Iberia Express,Airbus A321,3,,,3,$115,$345,11.7
IAG,Aer Lingus,Airbus A321,3,,3,6,$115,$345,17.6
IAG,Aer Lingus,Airbus A330,10,,5,15,$240,"$2,400",9.2
IAG,British Airways,Airbus A350,,,,,$312,$0,
IAG,British Airways,Airbus A380,12,,,12,$433,"$5,191",2.7
IAG,British Airways,Boeing 737,,,123,123,$74,$0,
IAG,Aer Lingus,Boeing 737,,,38,38,$74,$0,
IAG,British Airways,Boeing 747,37,,64,101,$316,"$11,685",20.4
IAG,Aer Lingus,Boeing 747,,,4,4,$316,$0,
IAG,British Airways,Boeing 757,,,56,56,$73,$0,
IAG,Aer Lingus,Boeing 757,4,,,4,$73,$290,20.1
IAG,British Airways,Boeing 767,7,,24,31,$187,"$1,308",21.9
IAG,Aer Lingus,Boeing 767,,,3,3,$187,$0,
IAG,British Airways,Boeing 777,58,,3,61,$295,"$17,084",14.4
IAG,British Airways,De Havilland Canada DHC-6 Twin Otter,,,1,1,$7,$0,
IAG,Aer Lingus,McDonnell Douglas MD-11,,,1,1,$175,$0,
IAG,BA CityFlyer,Saab 2000,2,,1,3,$12,$24,22.1
Japan Airlines,Japan Airlines,Airbus A300,,,22,22,$75,$0,
Japan Airlines,Japan Airlines,Airbus A350,,,,,$312,$0,
Japan Airlines,Japan Airlines,Boeing 737,50,,7,57,$74,"$3,699",6.9
Japan Airlines,Japan Transocean Air (72.8%),Boeing 737,13,1,22,36,$74,$962,16.6
Japan Airlines,Japan Airlines,Boeing 747,,,114,114,$316,$0,
Japan Airlines,Japan Transocean Air (72.8%),Boeing 767,,,2,2,$187,$0,
Japan Airlines,Japan Airlines,Boeing 767,39,,21,60,$187,"$7,289",11.5
Japan Airlines,Japan Airlines,Boeing 777,40,,6,46,$295,"$11,782",13.4
Japan Airlines,Japan Airlines,McDonnell Douglas MD-11,,,10,10,$175,$0,
Japan Airlines,Japan Airlines,McDonnell Douglas MD-90,,,16,16,$45,$0,
Jet Airways,Jet Airways,Airbus A320,,,1,1,$98,$0,
Jet Airways,Jet Airways,Airbus A330,11,,5,16,$240,"$2,640",7
Jet Airways,Jet Airways,Airbus A340,,,3,3,$216,$0,
Jet Airways,Jet Airways,Boeing 737,70,,53,123,$74,"$5,179",7.4
Jet Airways,Jet Airways,Boeing 777,9,,1,10,$295,"$2,651",9.3
Jet Airways,Jet Airways,Boeing 787,,,,,$265,$0,
JetBlue,JetBlue Airways,Airbus A320,130,,12,142,$98,"$12,740",11.3
JetBlue,JetBlue Airways,Airbus A321,35,4,,39,$115,"$4,022",1.6
Juneyao Airlines,Juneyao Airlines,Airbus A319,,,2,2,$90,$0,
Juneyao Airlines,Juneyao Airlines,Airbus A320,41,,,41,$98,"$4,018",5.2
Juneyao Airlines,Juneyao Airlines,Airbus A321,18,2,,20,$115,"$2,068",1.4
Kenya Airways,Kenya Airways,Airbus A310,,,6,6,$75,$0,
Kenya Airways,Kenya Airways,Boeing 737,12,,16,28,$74,$888,8.1
Kenya Airways,Jambojet Limited,Boeing 737,2,,1,3,$74,$148,19.7
Kenya Airways,Kenya Airways,Boeing 757,,,1,1,$73,$0,
Kenya Airways,Kenya Airways,Boeing 767,,,12,12,$187,$0,
Kenya Airways,Kenya Airways,Boeing 777,,,7,7,$295,$0,
Korean Air,Korean Air,Airbus A300,,,40,40,$75,$0,
Korean Air,Korean Air,Airbus A321neo,,,,,$126,$0,
Korean Air,Korean Air,Airbus A330,29,,1,30,$240,"$6,960",12
Korean Air,Korean Air,Airbus A380,10,,,10,$433,"$4,326",4.7
Korean Air,Korean Air,Boeing 727,,,1,1,$4,$0,
Korean Air,Korean Air,Boeing 737,40,,11,51,$74,"$2,959",9.6
Korean Air,Jin Air,Boeing 737,18,,,18,$74,"$1,332",11.2
Korean Air,Korean Air,Boeing 747,34,4,50,88,$316,"$10,737",10.8
Korean Air,Korean Air,Boeing 777,48,1,4,53,$295,"$14,138",7.5
Korean Air,Jin Air,Boeing 777,4,,,4,$295,"$1,178",10.7
Korean Air,Korean Air,Bombardier CS300,,,,,$72,$0,
Korean Air,Korean Air,McDonnell Douglas MD-11,,,5,5,$175,$0,
Lion Air,Malindo Air,Airbus A330,,,,,$240,$0,
Lion Air,Malindo Air,Boeing 737,25,1,1,27,$74,"$1,850",2
Lion Air,Thai Lion Air,Boeing 737,24,,,24,$74,"$1,776",1.6
LOT Polish Airlines,LOT Polish Airlines,Boeing 737,3,,23,26,$74,$222,19.9
LOT Polish Airlines,LOT Polish Airlines,Boeing 767,,,10,10,$187,$0,
LOT Polish Airlines,LOT Polish Airlines,Tupolev Tu-154,,,1,1,$16,$0,
Lufthansa,Lufthansa,Airbus A300,,,26,26,$75,$0,
Lufthansa,Lufthansa,Airbus A310,,,25,25,$75,$0,
Lufthansa,Austrian Airlines,Airbus A310,,,4,4,$75,$0,
Lufthansa,Lufthansa,Airbus A319,30,,5,35,$90,"$2,688",14.9
Lufthansa,Austrian Airlines,Airbus A319,7,,,7,$90,$627,12
Lufthansa,Brussels Airlines,Airbus A319,21,1,1,23,$90,"$1,882",12.6
Lufthansa,Germanwings,Airbus A319,43,,7,50,$90,"$3,853",10.8
Lufthansa,Swiss International Airlines,Airbus A319,5,,3,8,$90,$448,20
Lufthansa,Brussels Airlines,Airbus A319,21,1,1,23,$90,"$1,882",12.6
Lufthansa,Eurowings,Airbus A319,,,5,5,$90,$0,
Lufthansa,Lufthansa,Airbus A320,66,1,26,93,$98,"$6,468",9.3
Lufthansa,Austrian Airlines,Airbus A320,18,,,18,$98,"$1,764",14.8
Lufthansa,Brussels Airlines,Airbus A320,9,,,9,$98,$882,13.1
Lufthansa,Eurowings,Airbus A320,21,4,4,29,$98,"$2,058",1.3
Lufthansa,Eurowings Europe,Airbus A320,3,,,3,$98,$294,0.7
Lufthansa,Germanwings,Airbus A320,16,,10,26,$98,"$1,568",25.4
Lufthansa,Swiss International Airlines,Airbus A320,22,,4,26,$98,"$2,156",16.6
Lufthansa,Edelweiss Air,Airbus A320,6,,,6,$98,$588,15.7
Lufthansa,Brussels Airlines,Airbus A320,9,,,9,$98,$882,13.1
Lufthansa,Lufthansa,Airbus A321,64,,,64,$115,"$7,354",12
Lufthansa,Austrian Airlines,Airbus A321,6,,,6,$115,$689,19.1
Lufthansa,Swiss International Airlines,Airbus A321,9,,4,13,$115,"$1,034",14.5
Lufthansa,Austrian Airlines,Airbus A330,,,4,4,$115,$0,
Lufthansa,Lufthansa,Airbus A330,19,,5,24,$240,"$4,560",9.6
Lufthansa,Brussels Airlines,Airbus A330,9,1,,10,$240,"$2,160",19.3
Lufthansa,Eurowings,Airbus A330,6,1,,7,$240,"$1,440",12.7
Lufthansa,Swiss International Airlines,Airbus A330,14,,15,29,$240,"$3,360",6.2
Lufthansa,Edelweiss Air,Airbus A330,2,,2,4,$240,$480,3.4
Lufthansa,Brussels Airlines,Airbus A330,9,1,,10,$240,"$2,160",19.3
Lufthansa,Austrian Airlines,Airbus A340,,,4,4,$216,$0,
Lufthansa,Lufthansa,Airbus A340,42,,20,62,$216,"$9,053",13.5
Lufthansa,Swiss International Airlines,Airbus A340,10,,5,15,$216,"$2,156",14.5
Lufthansa,Edelweiss Air,Airbus A340,1,2,,3,$216,$216,13.1
Lufthansa,Lufthansa CityLine,Airbus A340,5,,,,$216,"$1,078",
Lufthansa,Lufthansa,Airbus A380,14,,,14,$433,"$6,056",5.2
Lufthansa,Swiss Global Airlines,Avro RJ100,10,,,,$30,$295,
Lufthansa,Germanwings,Boeing 717,,,2,2,$37,$0,
Lufthansa,Lufthansa,Boeing 727,,,1,1,$4,$0,
Lufthansa,Lufthansa,Boeing 737,,,155,155,$74,$0,
Lufthansa,Lufthansa Cargo,Boeing 737,,,4,4,$74,$0,
Lufthansa,Austrian Airlines,Boeing 737,,,13,13,$74,$0,
Lufthansa,Brussels Airlines,Boeing 737,,,11,11,$74,$0,
Lufthansa,Eurowings,Boeing 737,2,,1,3,$74,$148,15.7
Lufthansa,Brussels Airlines,Boeing 737,,,11,11,$74,$0,
Lufthansa,Lufthansa Cargo,Boeing 747,,,10,10,$316,$0,
Lufthansa,Lufthansa,Boeing 747,32,,48,80,$316,"$10,106",9.1
Lufthansa,Lufthansa,Boeing 767,,,3,3,$187,$0,
Lufthansa,Austrian Airlines,Boeing 767,6,,,6,$187,"$1,121",20.9
Lufthansa,Lufthansa,Boeing 777,,,,,$295,$0,
Lufthansa,Lufthansa Cargo,Boeing 777,5,,,5,$295,"$1,473",2.7
Lufthansa,Austrian Airlines,Boeing 777,5,,,5,$295,"$1,473",16.2
Lufthansa,Swiss International Airlines,Boeing 777,6,1,,7,$295,"$1,767",0.7
Lufthansa,Swiss Global Airlines,Boeing 777-300,6,,,,$320,"$1,921",
Lufthansa,Swiss Global Airlines,Bombardier CS100,4,,,,$72,$287,
Lufthansa,Swiss Global Airlines,Bombardier CS300,,,,,$72,$0,
Lufthansa,Swiss International Airlines,McDonnell Douglas MD-11,,,16,16,$175,$0,
Lufthansa,Lufthansa Cargo,McDonnell Douglas MD-11,12,,7,19,$175,"$2,100",17.6
Lufthansa,Swiss International Airlines,Saab 2000,,,31,31,$12,$0,
Malaysia Airlines,Malaysia Airlines,Airbus A300,,,6,6,$75,$0,
Malaysia Airlines,Malaysia Airlines,Airbus A330,18,,19,37,$240,"$4,320",4.6
Malaysia Airlines,Malaysia Airlines,Airbus A380,6,,,6,$433,"$2,596",4.6
Malaysia Airlines,Malaysia Airlines,Boeing 737,56,,111,167,$74,"$4,143",4.7
Malaysia Airlines,Firefly,Boeing 737,,,8,8,$74,$0,
Malaysia Airlines,Malaysia Airlines,Boeing 747,2,,42,44,$316,$632,10.7
Malaysia Airlines,Malaysia Airlines,Boeing 777,,,17,17,$295,$0,
Malaysia Airlines,Malaysia Airlines,McDonnell Douglas MD-11,,,6,6,$175,$0,
Meridiana,Air Italy,Airbus A319,,,4,4,,,
Meridiana,Air Italy,Airbus A320,,,7,7,,,
Meridiana,Air Italy,Airbus A330,,,1,1,,,
Meridiana,Air Italy,Boeing 737,7,,6,13,,,16.6
Meridiana,Air Italy,Boeing 767,4,,,4,,,22.6
Monarch Airlines,Monarch Airlines,Airbus A300,,,4,4,$75,$0,
Monarch Airlines,Monarch Airlines,Airbus A320,9,,12,21,$98,$882,12.3
Monarch Airlines,Monarch Airlines,Airbus A321,25,,4,29,$115,"$2,873",11.8
Monarch Airlines,Monarch Airlines,Airbus A330,,,2,2,$240,$0,
Monarch Airlines,Monarch Airlines,Boeing 737,,,19,19,$74,$0,
Monarch Airlines,Monarch Airlines,Boeing 757,,,10,10,$73,$0,
Monarch Airlines,Monarch Airlines,Boeing 767,,,1,1,$187,$0,
Monarch Airlines,Monarch Airlines,McDonnell Douglas MD-11,,,2,2,$175,$0,
Oman Air,Oman Air,Airbus A300,,,1,1,$75,$0,
Oman Air,Oman Air,Airbus A310,,,6,6,$75,$0,
Oman Air,Oman Air,Airbus A320,,,5,5,$98,$0,
Oman Air,Oman Air,Airbus A330,10,,2,12,$240,"$2,400",5.4
Oman Air,Oman Air,Boeing 737,29,1,15,45,$74,"$2,145",5.1
Oman Air,Oman Air,Boeing 757,,,1,1,$73,$0,
Oman Air,Oman Air,Boeing 767,,,1,1,$187,$0,
Pakistan International Airlines,Pakistan International Airlines,Airbus A300,,,13,13,$75,$0,
Pakistan International Airlines,Pakistan International Airlines,Airbus A310,4,,8,12,$75,$300,23.7
Pakistan International Airlines,Pakistan International Airlines,Airbus A320,11,2,1,14,$98,"$1,078",10.9
Pakistan International Airlines,Pakistan International Airlines,Airbus A321,,,2,2,$115,$0,
Pakistan International Airlines,Pakistan International Airlines,Airbus A330,1,,,1,$240,$240,1.9
Pakistan International Airlines,Pakistan International Airlines,Boeing 737,,,7,7,$74,$0,
Pakistan International Airlines,Pakistan International Airlines,Boeing 747,,,15,15,$316,$0,
Pakistan International Airlines,Pakistan International Airlines,Boeing 777,11,,,11,$295,"$3,240",11.2
Pakistan International Airlines,Pakistan International Airlines,Boeing 787,,,,,$265,$0,
Pegasus Airlines,Pegasus Airlines,Airbus A300,,,2,2,$75,$0,
Pegasus Airlines,Pegasus Airlines,Airbus A320,17,5,5,27,$98,"$1,666",2.1
Pegasus Airlines,Pegasus Airlines,Airbus A321,,,,,$115,$0,
Pegasus Airlines,Pegasus Airlines,Boeing 737,58,,40,98,$74,"$4,291",6.4
Philippine Airlines,Philippine Airlines,Airbus A300,,,13,13,$75,$0,
Philippine Airlines,Philippine Airlines,Airbus A319,,,4,4,$90,$0,
Philippine Airlines,Philippine Airlines,Airbus A320,10,,15,25,$98,$980,6.9
Philippine Airlines,PAL Express,Airbus A320,9,,9,18,$98,$882,6.4
Philippine Airlines,Philippine Airlines,Airbus A321,24,,,24,$115,"$2,758",2
Philippine Airlines,Philippine Airlines,Airbus A330,15,,8,23,$240,"$3,600",2.8
Philippine Airlines,Philippine Airlines,Airbus A340,6,,12,18,$216,"$1,293",16
Philippine Airlines,Philippine Airlines,Airbus A350,,,,,$312,$0,
Philippine Airlines,Philippine Airlines,Boeing 737,,,18,18,$74,$0,
Philippine Airlines,Philippine Airlines,Boeing 747,,,18,18,$316,$0,
Philippine Airlines,Philippine Airlines,Boeing 777,8,,,8,$295,"$2,356",3.7
Philippine Airlines,Philippine Airlines,McDonnell Douglas MD-11,,,4,4,$175,$0,
Qantas Airways,Jetstar Airways,Airbus A320,53,,13,66,$98,"$5,194",7.2
Qantas Airways,Jetstar Airways,Airbus A321,8,,,8,$115,$919,7.9
Qantas Airways,Jetstar Airways,Airbus A330,,,11,11,$240,$0,
Qantas Airways,Jetstar Airways,Boeing 717,,,14,14,$37,$0,
Qatar Airways,Qatar Airways,Airbus A300,,,9,9,$75,$0,
Qatar Airways,Qatar Airways Cargo,Airbus A300,,,3,3,$75,$0,
Qatar Airways,Qatar Airways,Airbus A310,,,2,2,$75,$0,
Qatar Airways,Qatar Executive,Airbus A319,2,,,,$90,$179,
Qatar Airways,Qatar Airways,Airbus A319,2,,1,3,$90,$179,13.4
Qatar Airways,Qatar Airways,Airbus A320,35,5,6,46,$98,"$3,430",7.4
Qatar Airways,Al Maha Airways,Airbus A320,4,,,4,$98,$392,1.4
Qatar Airways,Qatar Airways,Airbus A321,8,3,4,15,$115,$919,9.6
Qatar Airways,Qatar Airways,Airbus A330,26,,5,31,$240,"$6,240",11.3
Qatar Airways,Qatar Airways Cargo,Airbus A330,8,,,8,$240,"$1,920",2.5
Qatar Airways,Qatar Airways,Airbus A340,4,,,4,$216,$862,10.4
Qatar Airways,Qatar Airways,Airbus A380,6,3,,9,$433,"$2,596",2.6
Qatar Airways,Qatar Airways,Boeing 737,,,1,1,$74,$0,
Qatar Airways,Qatar Airways,Boeing 747,,,3,3,$316,$0,
Qatar Airways,Qatar Airways,Boeing 757,,,1,1,$73,$0,
Qatar Airways,Qatar Airways,Boeing 767,,,2,2,$187,$0,
Qatar Airways,Qatar Airways,Boeing 777,43,,,43,$295,"$12,666",5.2
Qatar Airways,Qatar Airways Cargo,Boeing 777,11,,,11,$295,"$3,240",3.2
Royal Air Maroc,Royal Air Maroc,Airbus A320,1,,,1,$98,$98,14.8
Royal Air Maroc,Royal Air Maroc,Airbus A321,,,4,4,$115,$0,
Royal Air Maroc,Royal Air Maroc,Boeing 737,37,,27,64,$74,"$2,737",10.9
Royal Air Maroc,Royal Air Maroc,Boeing 747,1,,3,4,$316,$316,23.9
Royal Air Maroc,Royal Air Maroc,Boeing 757,,,2,2,$73,$0,
Royal Air Maroc,Royal Air Maroc,Boeing 767,4,,2,6,$187,$748,16
Royal Jordanian,Royal Jordanian,Airbus A310,2,,12,14,$75,$150,28.6
Royal Jordanian,Royal Jordanian,Airbus A319,4,,,4,$90,$358,8.1
Royal Jordanian,Royal Jordanian,Airbus A320,6,,8,14,$98,$588,5.8
Royal Jordanian,Royal Wings,Airbus A320,1,,,1,$98,$98,21
Royal Jordanian,Royal Jordanian,Airbus A321,2,,6,8,$115,$230,4.6
Royal Jordanian,Royal Jordanian,Airbus A330,2,1,1,4,$240,$480,7.8
Royal Jordanian,Royal Jordanian,Airbus A340,,,4,4,$216,$0,
Royal Jordanian,Royal Jordanian,Boeing 747,,,2,2,$316,$0,
Ryanair,RyanAir,Boeing 737,366,10,100,476,$74,"$27,077",6.6
S7 Airlines,S7 Airlines,Airbus A310,,,9,9,$75,$0,
S7 Airlines,S7 Airlines,Airbus A319,19,,1,20,$90,"$1,702",14.6
S7 Airlines,S7 Airlines,Airbus A320,19,,,19,$98,"$1,862",6.1
S7 Airlines,S7 Airlines,Airbus A321,6,,,6,$115,$689,8.8
S7 Airlines,S7 Airlines,Boeing 737,19,,14,33,$74,"$1,406",7.4
S7 Airlines,S7 Airlines,Boeing 767,2,,,2,$187,$374,20.6
S7 Airlines,S7 Airlines,Tupolev Tu-204,,,2,2,$16,$0,
SAS Group,Air Greenland,Airbus A330,1,,,1,$240,$240,18.3
SAS Group,Air Greenland,Boeing 757,,,1,1,$73,$0,
SAS Group,Widerøe,De Havilland Canada DHC-6 Twin Otter,,,1,1,$7,$0,
Saudi Arabian Airlines,Saudi Arabian Airlines,Airbus A300,,,36,36,$75,$0,
Saudi Arabian Airlines,Saudi Arabian Airlines,Airbus A310,,,1,1,$75,$0,
Saudi Arabian Airlines,Saudi Arabian Airlines,Airbus A319,5,,,5,$90,$448,12.2
Saudi Arabian Airlines,Saudi Arabian Airlines,Airbus A320,35,5,9,49,$98,"$3,430",6.4
Saudi Arabian Airlines,Saudi Arabian Airlines,Airbus A321,15,,12,27,$115,"$1,724",4.9
Saudi Arabian Airlines,Saudi Arabian Airlines,Airbus A330,28,5,12,45,$240,"$6,720",6.1
Saudi Arabian Airlines,Saudi Arabian Airlines,Airbus A340,,,4,4,$216,$0,
Saudi Arabian Airlines,Saudi Arabian Airlines,Boeing 737,,,26,26,$74,$0,
Saudi Arabian Airlines,Saudi Arabian Airlines,Boeing 747,21,,107,128,$316,"$6,632",16.8
Saudi Arabian Airlines,Saudi Arabian Airlines,Boeing 757,,,10,10,$73,$0,
Saudi Arabian Airlines,Saudi Arabian Airlines,Boeing 767,,,12,12,$187,$0,
Saudi Arabian Airlines,Saudi Arabian Airlines,Boeing 777,54,3,,57,$295,"$15,906",8.9
Saudi Arabian Airlines,Saudi Arabian Airlines,McDonnell Douglas MD-11,,,5,5,$175,$0,
Saudi Arabian Airlines,Saudi Arabian Airlines,McDonnell Douglas MD-90,,,29,29,$45,$0,
Singapore Airlines,Singapore Airlines,Airbus A300,,,8,8,$75,$0,
Singapore Airlines,Singapore Airlines,Airbus A310,,,23,23,$75,$0,
Singapore Airlines,SilkAir,Airbus A310,,,2,2,$75,$0,
Singapore Airlines,SilkAir,Airbus A319,3,,5,8,$90,$269,8.3
Singapore Airlines,SilkAir,Airbus A320,11,,8,19,$98,"$1,078",6.7
Singapore Airlines,Singapore Airlines,Airbus A330,26,,8,34,$240,"$6,240",4.6
Singapore Airlines,Singapore Airlines,Airbus A340,,,22,22,$216,$0,
Singapore Airlines,Singapore Airlines,Airbus A380,19,2,,21,$433,"$8,219",7.5
Singapore Airlines,Singapore Airlines,Boeing 737,,,5,5,$74,$0,
Singapore Airlines,Singapore Airlines Cargo,Boeing 737,,,1,1,$74,$0,
Singapore Airlines,SilkAir,Boeing 737,17,,6,23,$74,"$1,258",1.8
Singapore Airlines,Singapore Airlines,Boeing 747,,,80,80,$316,$0,
Singapore Airlines,Singapore Airlines Cargo,Boeing 747,9,,11,20,$316,"$2,842",14.4
Singapore Airlines,Singapore Airlines,Boeing 757,,,4,4,$73,$0,
Singapore Airlines,Singapore Airlines,Boeing 777,54,,31,85,$295,"$15,906",10.6
Singapore Airlines,Singapore Airlines,Boeing 787,,,,,$265,$0,
Skymark Airlines,Skymark Airlines,Airbus A330,,,5,5,$240,$0,
Skymark Airlines,Skymark Airlines,Boeing 737,26,,7,33,$74,"$1,923",5.7
Skymark Airlines,Skymark Airlines,Boeing 767,,,7,7,$187,$0,
South African Airways,South African Airways,Airbus A300,,,9,9,$75,$0,
South African Airways,South African Airways,Airbus A319,8,,3,11,$90,$717,11.9
South African Airways,South African Airways,Airbus A320,12,,7,19,$98,"$1,176",3
South African Airways,South African Airways,Airbus A330,8,2,5,15,$240,"$1,920",4.2
South African Airways,South African Airways,Airbus A340,17,,6,23,$216,"$3,664",13.4
South African Airways,South African Airways,Boeing 737,9,,43,52,$74,$666,17.3
South African Airways,Mango,Boeing 737,10,,3,13,$74,$740,16.2
South African Airways,South African Airways,Boeing 747,,,28,28,$316,$0,
South African Airways,South African Airways,Boeing 767,,,3,3,$187,$0,
Southwest Airlines,Southwest Airlines,Boeing 737,718,38,195,952,$74,"$53,118",11.7
Spirit Airlines,Spirit Airlines,Airbus A319,29,,4,33,$90,"$2,598",10.5
Spirit Airlines,Spirit Airlines,Airbus A320,49,1,,50,$98,"$4,802",3.1
Spirit Airlines,Spirit Airlines,Airbus A321,16,3,4,23,$115,"$1,838",2.1
Spring Airlines,Spring Airlines,Airbus A320,65,4,8,77,$98,"$6,370",3.7
SunExpress,SunExpress,Airbus A320,,,3,3,$98,$0,
SunExpress,SunExpress Deutschland,Airbus A330,6,,,,$240,"$1,440",
SunExpress,SunExpress,Boeing 737,51,,37,88,$74,"$3,773",8.5
SunExpress,SunExpress Deutschland,Boeing 737,16,,4,20,$74,"$1,184",13.6
SunExpress,SunExpress,Boeing 757,,,4,4,$73,$0,
TAP Portugal,TAP Portugal,Airbus A310,,,7,7,$75,$0,
TAP Portugal,TAP Portugal,Airbus A319,21,,,21,$90,"$1,882",17.5
TAP Portugal,TAP Portugal,Airbus A320,19,,6,25,$98,"$1,862",12.8
TAP Portugal,TAP Portugal,Airbus A321,3,,,3,$115,$345,15.7
TAP Portugal,TAP Portugal,Airbus A330,16,,,16,$240,"$3,840",14.4
TAP Portugal,TAP Portugal,Airbus A340,4,,,4,$216,$862,21.9
TAP Portugal,TAP Portugal,Boeing 727,,,1,1,$4,$0,
TAP Portugal,TAP Portugal,Boeing 737,,,25,25,$74,$0,
TAP Portugal,TAP Portugal,Boeing 747,,,4,4,$316,$0,
Thai Airways,Nok Air,Boeing 737,23,,16,39,$74,"$1,702",7.7
Thomas Cook Airlines,Condor,Airbus A300,,,9,9,$75,$0,
Thomas Cook Airlines,Condor,Airbus A310,,,5,5,$75,$0,
Thomas Cook Airlines,Condor,Airbus A319,,,1,1,$90,$0,
Thomas Cook Airlines,Condor,Airbus A320,9,,5,14,$98,$882,17.8
Thomas Cook Airlines,Condor,Airbus A321,7,,1,8,$115,$804,4
Thomas Cook Airlines,Condor,Boeing 727,,,1,1,$4,$0,
Thomas Cook Airlines,Condor,Boeing 737,,,17,17,$74,$0,
Thomas Cook Airlines,Condor,Boeing 747,,,4,4,$316,$0,
Thomas Cook Airlines,Condor,Boeing 757,13,,20,33,$73,$943,17.5
Thomas Cook Airlines,Condor,Boeing 767,16,,5,21,$187,"$2,990",21.3
Thomas Cook Airlines,Thomas Cook Airlines Belgium,Airbus A319,,,1,1,$90,$0,
Thomas Cook Airlines,Thomas Cook Airlines Belgium,Airbus A320,5,,15,20,$98,$490,14.7
Thomas Cook Airlines,Thomas Cook Airlines,Airbus A320,,,30,30,$98,$0,
Thomas Cook Airlines,Thomas Cook Airlines Scandinavia,Airbus A320,,,2,2,$98,$0,
Thomas Cook Airlines,Thomas Cook Airlines,Airbus A321,21,,2,23,$115,"$2,413",6.9
Thomas Cook Airlines,Thomas Cook Airlines Scandinavia,Airbus A321,8,,4,12,$115,$919,5
Thomas Cook Airlines,Thomas Cook Airlines,Airbus A330,7,1,4,12,$240,"$1,680",12.5
Thomas Cook Airlines,Thomas Cook Airlines Scandinavia,Airbus A330,4,,,4,$240,$960,16.6
Thomas Cook Airlines,Thomas Cook Airlines,Boeing 757,2,3,21,26,$73,$145,15.7
Thomas Cook Airlines,Thomas Cook Airlines Belgium,Boeing 757,,,1,1,$73,$0,
Thomas Cook Airlines,Thomas Cook Airlines,Boeing 767,3,,,3,$187,$561,21.8
Trans States Airlines,Trans States Airlines,British Aerospace Jetstream 41,,,11,11,$7,$0,
TUI Group,TUIfly,Boeing 737,30,,53,83,$74,"$2,219",8.2
TUI Group,TUIfly Nordic,Boeing 737,6,,2,8,$74,$444,7.2
TUI Group,TUIfly Nordic,Boeing 757,,,4,4,$73,$0,
TUI Group,TUIfly,Boeing 767,1,,2,3,$187,$187,18.6
TUI Group,TUIfly Nordic,Boeing 767,1,,1,2,$187,$187,17.8
Tunisair,Tunisair,Airbus A300,,,7,7,$75,$0,
Tunisair,Tunisair,Airbus A310,,,2,2,$75,$0,
Tunisair,Tunisair,Airbus A319,4,,,4,$90,$358,15.5
Tunisair,Tunisair,Airbus A320,17,,3,20,$98,"$1,666",15.7
Tunisair,Tunisair,Airbus A330,2,,,2,$240,$480,1.7
Tunisair,Tunisair,Boeing 727,,,1,1,$4,$0,
Tunisair,Tunisair,Boeing 737,7,,25,32,$74,$518,16.9
Tunisair,Tunisair,Boeing 747,,,1,1,$316,$0,
Tunisair,Tunisair,McDonnell Douglas MD-90,,,1,1,$45,$0,
Turkish Airlines,Turkish Airlines,Airbus A300,,,2,2,$75,$0,
Turkish Airlines,Turkish Airlines,Airbus A310,,,19,19,$75,$0,
Turkish Airlines,Turkish Airlines,Airbus A319,14,,,14,$90,"$1,254",8.7
Turkish Airlines,Turkish Airlines,Airbus A320,29,,17,46,$98,"$2,842",9.7
Turkish Airlines,Anadolujet (100%),Airbus A320,,,10,10,$98,$0,
Turkish Airlines,Turkish Airlines,Airbus A321,66,2,7,75,$115,"$7,583",4.6
Turkish Airlines,Turkish Airlines,Airbus A330,58,8,6,72,$240,"$13,920",5.3
Turkish Airlines,Turkish Airlines,Airbus A340,4,,5,9,$216,$862,18.6
Turkish Airlines,Turkish Airlines,Boeing 737,92,,50,142,$74,"$6,806",6.4
Turkish Airlines,Anadolujet (100%),Boeing 737,34,,36,70,$74,"$2,515",13
Turkish Airlines,Turkish Airlines,Boeing 777,32,1,6,39,$295,"$9,426",3.2
Turkish Airlines,Turkish Airlines,McDonnell Douglas MD-90,,,2,2,$45,$0,
United Airlines,United Airlines,Airbus A319,59,20,,80,$90,"$5,286",16.5
United Airlines,United Airlines,Airbus A320,97,,1,98,$98,"$9,506",18.6
