Name,IATA,ICAO,Country
air comet chile,3I,,Chile
german air force - flb,,FLB,Germany
line blue,L8,LBL,Germany
flylal charters,,LLC,Lithuania
salzburg arrows,SZ,,Austria
texas wings,TQ,TXW,United States
dennis sky,DH,DSY,Israel
zz,ZZ,,Belgium
atifly,A1,A1F,United States
aerolineas heredas santa maria,,SZB,Dominican Republic
ciao air,99,,Italy
jc royal.britannica,,JRB,United Kingdom
pal airlines,5P,,Chile
canxpress,C1,CA1,Canada
danube wings (v5),V5,,Slovakia
sharp airlines,SH,SHA,Australia
canxplorer,C2,CAP,Canada
click (mexicana),QA,,Mexico
world experience airline,W1,WE1,Canada
alak,J4,,Russia
air choice one,3E,,United States
tianjin airlines,,GCR,China
china united,KN,,China
locair,ZQ,LOC,United States
safi airlines,4Q,,Afghanistan
seaport airlines,K5,SQH,United States
salmon air,S6,,United States
bobb air freight,1,,Germany
star1 airlines,V9,HCW,Lithuania
pelita,6D,,Indonesia
alaska seaplane service,J5,,United States
enerjet,,ENJ,Canada
mexicanalink,I6,MXI,Mexico
island spirit,IP,ISX,Iceland
taca peru,T0,,Peru
orbest,,OBS,Portugal
southern air charter,,SOA,Bahamas
svg air,,SVG,Saint Vincent and the Grenadines
air century,,CEY,Dominican Republic
pan am world airways dominicana,7Q,,Dominican Republic
primera air,PF,,Iceland
air antilles express,3S,,Guadeloupe
sol lineas aereas,,OLS,Argentina
regional paraguaya,P7,REP,Paraguay
vip ecuador,V6,,Ecuador
transportes aereos cielos andinos,,NDN,Peru
peruvian airlines,P9,,Peru
easyfly,,EFY,Colombia
polar airlines,ЯП,,Russia
catovair,OC,,Mauritius
andalus lineas aereas,,ANU,Spain
air 26,,DCD,Angola
mauritania airways,,MTW,Mauritania
ceiba intercontinental,,CEL,Equatorial Guinea
halcyonair,7Z,,Cape Verde
business aviation,4P,,Congo (Kinshasa)
compagnie africaine d\\'aviation,E9,,Congo (Kinshasa)
zambia skyways,K8,,Zambia
almasria universal airlines,UJ,LMU,Egypt
egyptair express,,MSE,Egypt
smartlynx airlines,6Y,,Latvia
air italy egypt,,EUD,Egypt
koralblue airlines,K7,KBR,Egypt
wind rose aviation,,WRC,Ukraine
elysian airlines,E4,GIE,Cameroon
sevenair,,SEN,Tunisia
hellenic imperial airways,HT,IMP,Greece
amsterdam airlines,WD,AAN,Netherlands
arik niger,Q9,NAK,Niger
dana air,DA,,Nigeria
stp airways,8F,STP,Sao Tome and Principe
med airways,7Y,,Lebanon
skyjet airlines,UQ,SJU,Uganda
air volga,G6,,Russia
transavia denmark,,TDK,Denmark
royal falcon,RL,RFJ,Jordan
euroline,4L,MJX,Georgia
turkuaz airlines,,TRK,Turkey
athens airways,ZF,,Greece
viking hellas,VQ,VKH,Greece
norlandair,,FNA,Iceland
flugfelag vestmannaeyja,,FVM,Iceland
starline.kz,DZ,,Kazakhstan
lugansk airlines,L7,,Ukraine
gryphon airlines,6P,,United States
gadair european airlines,GP,GDR,Spain
spirit of manila airlines,SM,MNP,Philippines
chongqing airlines,OQ,CQN,China
grand china air,,GDC,China
west air china,PN,CHB,China
qatxpress,C3,QAX,Qatar
onechina,1C,1CH,China
nordstar airlines,Y7,,Russia
joy air,JR,JOY,China
air india regional,CD,,India
mdlr airlines,9H,,India
jagson airlines,,JGN,India
maldivian,Q2,,Maldives
xpressair,XN,,Indonesia
strategic airlines,VC,,Australia
fars air qeshm,,QFZ,Iran
eastok avia,,EAA,Kyrgyzstan
jupiter airlines,,JPU,United Arab Emirates
vision air international,,VIS,Pakistan
al-naser airlines,NA,,Iraq
fuji dream airlines,JH,,Japan
korea express air,,KEA,South Korea
eznis airways,,EZA,Mongolia
pacific flier,,PFL,Palau
syrian pearl airlines,,PSB,Syria
sga airlines,5E,,Thailand
air2there,F8,,New Zealand
avianova (russia),AO,,Russia
parmiss airlines (ipv),PA,IPV,Iran
europesky,ES,EUV,Germany
brazil air,GB,BZE,Brazil
homer air,MR,OME,Germany
u.s. air,-+,--+,United States
jayrow,\\',\\'\\,Australia
wilderness air,;;,,Australia
whitaker air,^^,,Australia
panam world airways,WQ,PQW,United States
virginwings,YY,VWA,Germany
ksy,KY,KSY,Greece
buquebus líneas aéreas,BQ,BQB,Uruguay
sochi air,CQ,KOL,Russia
wizz air ukraine,WU,WAU,Ukraine
88,47,VVN,Cyprus
lcm airlines,LQ,LMM,Russia
cambodia angkor air (k6),K6,,Cambodia
royal european airlines,69,,United Kingdom
tom\\'s & co airliners,&T,T&O,France
azul,AD,AZU,Brazil
lsm airlines,PQ,LOO,Russia
zapolyarie airlines,,PZY,Russia
finlandian,,FN1,Finland
lionxpress,C4,LIX,Cameroon
genesis,GK,,Pakistan
congo express,XZ,,Congo (Kinshasa)
fly dubai,FZ,FDB,United Arab Emirates
domenican airlines,D1,MDO,Dominican Republic
connex european airline,,2CO,Austria
aereonautica militare,JY,AXZ,Italy
kal star aviation,,KLS,Indonesia
lsm airlines ,YZ,YZZ,Russia
utair-express,UR,,Russia
huaxia,G5,,China
zabaykalskii airlines,ZP,ZZZ,Russia
cbm america,,XBM,United States
marysya airlines,M4,1QA,Russia
n1,N1,,Peru
airlink (saa),4Z,,South Africa
westfalia express va,,WFX,Germany
jobair,3B,,Czech Republic
black stallion airways,BZ,BSA,United States
german international air lines,GM,GER,Germany
trasbrasil,TB,TBZ,Brazil
transbrasil airlines,TH,THS,Brazil
china sss,9C,,China
air indochine,,IIA,Vietnam
happy air,,HPY,Thailand
solar air,,SRB,Thailand
air mekong,P8,MKG,Vietnam
harbour air (priv),H3,,Canada
air hamburg (aho),HH,AHO,Germany
zabaikal airlines,Z6,ZTT,Russia
transholding,TI,THI,Brazil
sur lineas aereas,,SZZ,Argentina
aerolineas africanas,,AA1,Guinea
yeti airways,YT,,Nepal
yellowstone club private shuttle,Y1,,United States
caucasus airlines,NS,,Georgia
serbian airlines,S1,SA1,Serbia
windward islands airways,WM,,Netherlands Antilles
transholding system,YO,TYS,Brazil
ccml airlines,CB,CCC,Colombia
small planet airlines,,ELC,Lithuania
fly brasil,F1,FBL,Brazil
cb airways uk ( interliging flights ),1F,CIF,United Kingdom
fly colombia ( interliging flights ),3F,3FF,Colombia
trans pas air,T6,TP6,United States
kmv,МИ,,Russia
himalayan airlines,HC,HYM,Nepal
indya airline group,G1,IG1,India
sunwing,WG,,Canada
turkish wings domestic,,TWD,Turkey
japan regio,ZX,ZXY,Japan
ocean air cargo,,IXO,India
norte lineas aereas,N0,,Argentina
austral brasil,W7,,Brazil
pegasus airlines-,H9,,Turkey
nihon.jet connect,,NX1,Kyrgyzstan
camair-co,QC,,Cameroon
sky regional,RS,SKV,Canada
lsm international ,II,UWW,Russia
baikotovitchestrian airlines ,BU,BUU,American Samoa
luchsh airlines ,L4,LJJ,Russia
enterair,,QQQ,Poland
air cargo germany,6U,,Germany
mongolian international air lines ,7M,ZTF,Mongolia
tway airlines,TW,TWB,South Korea
papillon grand canyon helicopters,HI,,United States
jusur airways,JX,JSR,Egypt
next brasil,XB,NXB,Brazil
aeroworld ,W4,WER,Russia
gnb linhas aereas,GN,,Brazil
usa sky cargo,E1,ES2,United States
hankook airline,HN,HNX,South Korea
redjet,Z7,,Barbados
red jet andes,PT,,Peru
red jet canada,QY,,Canada
sprintair,,SRN,Poland
red jet mexico,4X,,Mexico
marusya airways,Y8,MRS,Russia
era alaska,7H,ERR,United States
airrussia,R8,RRJ,Russia
hankook air us,H1,HA1,United States
carpatair flight training,,SMW,Romania
i-fly,H5,RSY,Russia
whitejets,,WTJ,Brazil
vickjet,KT,VKJ,France
bvi airways,XV,,British Virgin Islands
hamburg airways,,HAY,Germany
salsa d\\'haiti,SO,SLC,Haiti
zambezi airlines (zma),ZJ,,Zambia
kan air,,KND,Thailand
air cudlua,,CUD,United Kingdom
polet airlines (priv),YQ,,Russia
air explore,,AXE,Slovakia
12 north,12,N12,India
holidays czech airlines,,HCC,Czech Republic
comtel air,,COE,Austria
mint airways,,MIC,Spain
orbit airlines,,OBT,United States
air bucharest,,BUR,Romania
albastar,,LAV,Spain
mauritania airlines international,L6,MAI,Mauritania
mat airways,6F,MKD,Macedonia
asian wings airways,AW,AWM,Burma
air arabia egypt,E5,RBG,Egypt
eagles airlines,,EGS,Italy
yes airways,,YEP,Poland
alitalia cityliner,CT,,Italy
direct aero services,,DSV,Romania
medallion air,,MDP,Romania
orchid airlines,OI,ORC,Australia
asia wings,Y5,AWA,Kazakhstan
georgian international airlines,,GNN,Georgia
air batumi,,BTM,Georgia
skywest australia,XR,,Australia
nile air,NP,NIA,Egypt
feeder airlines,,FDD,Sudan
senegal airlines,DN,SGG,Senegal
fly 6ix,6I,,Sierra Leone
starbow airlines,S9,,Ghana
copenhagen express,0X,CX0,Denmark
businessair,8B,BCC,Thailand
senic airlines,YR,,United States
xojet,,XOJ,United States
sky wing pacific,C7,CR7,South Korea
bateleur air,,BEU,South Africa
air indus,PP,AI0,Pakistan
orbit international airlines,,OAI,United States
orbit regional airlines,,OAR,United States
orbit atlantic airways,,OAN,United States
volotea,,VOO,Spain
peach aviation,MM,,Japan
helitt líneas aéreas,,HTH,Spain
russia state transport,,RSD,Russia
malaysia wings,,MWI,Malaysia
aviabus,U1,ABI,Russia
michael airlines,DF,MJG,Puerto Rico
korongo airlines,ZC,KGO,Congo (Kinshasa)
indonesia sky,I5,IDS,Indonesia
aws express,B0,666,United States
southjet,76,SJS,United States
southjet connect,77,ZCS,United States
southjet cargo,78,XAN,United States
iberia express,I2,IBS,Spain
interjet (abc aerolineas),4O,,Mexico
aironix,OG,,Ukraine
nordic global airlines,NJ,NGB,Finland
scoot,TZ,SCO,Singapore
hi fly (5k),5K,,Portugal
china northwest airlines (wh),WH,,China
zenith international airline,ZN,ZNA,Thailand
orbit airlines azerbaijan,O1,OAB,Azerbaijan
air alps aviation (a6),A6,,Austria
flying kangaroo airline,,FKA,Australia
rusjet,,RSJ,Russia
vietjet air,,VJC,Vietnam
patriot airways,P4,,United States
vision airlines (v2),V2,RBY,United States
bqb lineas aereas,5Q,,Uruguay
airasia japan,,WAJ,Japan
yellowtail,YE,YEL,United States
royal airways,KG,RAW,United States
flyhigh airlines ireland (fh),FH,FHI,Ireland
executive airshare,,XSR,United States
hebei airlines,,HBH,China
air kbz,,KBZ,Burma
aero vip (2d),2D,,Portugal
yangon airways ltd.,YH,,Burma
t.j. air,TJ,TJA,United States
skywork airlines ,SX,,Switzerland
maastricht airlines,W2,,Netherlands
euro jet,24,,Germany
ukraine atlantic,,UAT,Ukraine
nesma airlines,,NMA,Egypt
east horizon,,EHN,Afghanistan
air majoro,,MJP,Peru
rotana jet,,RJD,United Arab Emirates
sochi air chater,Q3,QER,Russia
denim air ,J7,,Norway
malindo air,OD,MXD,Malaysia
hermes airlines,,HRM,Greece
flightlink tanzania,Z9,,Tanzania
izavia,I8,,Russia
катэкавиа,,КТК,Russia
псковавиа,,PKV,Russia
maryland air,M1,M1F,United States
insel air (7i/inc) (priv),7I,,Netherlands Antilles
vivacolombia,5Z,VVC,Colombia
flybe finland oy,,FCM,Finland
bingo airways,,BGY,Poland
bluebird airways (bz),,BBG,Greece
apache air,ZM,IWA,United States
mhs aviation gmbh,M2,,Germany
jettor airlines,NR,JTO,Hong Kong
flyme (vp),,VQI,Maldives
thai lion air,SL,,Thailand
golden myanmar airlines,,GMR,Burma
canaryfly,,CNF,Spain
sunrise airways,,KSZ,Haiti
national air cargo,N8,NCR,United States
eastern atlantic virtual airlines,13,EAV,United States
citilink indonesia,QG,,Indonesia
transair,,TTZ,Canada
comfort express virtual charters albany,,EVC,United States
comfort express virtual charters,,CEO,United States
flyjet,,FYJ,Poland
snowbird airlines,S8,SBD,Finland
russkie krylya,,KRY,Russia
kharkiv airlines,KH,KHK,Ukraine
xair usa,XA,XAU,United States
air costa,LB,,India
simrik airlines,,RMK,Nepal
xpto,XP,XPT,Portugal
royal flight,,DME,Russia
bbn-airways,,EGH,United Kingdom
tomsk-avia,,TKS,Russia
malawian airlines,3W,,Malawi
yeti airlines ,,NYT,Nepal
avilu,..,...,Switzerland
air serbia,JU,ASL,Serbia
skyline ulasim ticaret a.s.,,KCU,Turkey
air lituanica,LT,LTU,Lithuania
envoy air,,ENY,United States
caricom airways (barbados) inc.,,CCB,Barbados
rainbow air (rai),RN,RAB,United States
rainbow air canada,RY,RAY,Canada
rainbow air polynesia,RX,RPO,United States
rainbow air euro,RU,RUE,United Kingdom
rainbow air us,RM,RNY,United States
transilvania,,TNS,Romania
dobrolet,QD,DOB,Russia
spike airlines,S0,SAL,United States
grand cru airlines,,GCA,Lithuania
go2sky,,RLX,Slovakia
all argentina,L1,AL1,Argentina
all america,A2,AL2,United States
all asia,L9,AL3,China
all africa,9A,99F,South Africa
regionalia méxico,N4,J88,Mexico
all europe,N9,N99,United Kingdom
all spain,N7,N77,Spain
regional air iceland,9N,N78,Iceland
voestar,8K,K88,Brazil
all colombia,7O,7KK,Colombia
regionalia uruguay,2X,2K2,Uruguay
regionalia venezuela,9X,9XX,Venezuela
regionalia chile,9J,CR1,Chile
vuela cuba,6C,6CC,Cuba
all australia,88,8K8,Australia
fly europa,ER,RWW,Spain
flyportugal,PO,FPT,Portugal
spring airlines japan,IJ,SJO,Japan
dense airways,KP,DWA,United States
dense connection,KZ,DC2,United States
vuola italia,4S,VI4,Italy
jet suite,,RSP,United States
fly jamaica airways,,FJM,Jamaica
island express air,1X,,Canada
all argentina express,Z0,Z9H,Argentina
thai smile airways,WE,,Thailand
international airlink,I4,,Jamaica
real tonga,RT,,Tonga
all america ar,2R,M7A,Argentina
all america cl,1R,R1R,Chile
sochi air express,Q4,SAE,Russia
all america br,1Y,A9B,Brazil
volotea costa rica,9V,VC9,Costa Rica
fly romania,X5,OTJ,Romania
eagle atlantic airlines,E2,,Ghana
fly africa zimbabwe,,FZW,Zimbabwe
san dima air,,SDI,United States
all america co,0Y,7ZC,Colombia
all america mx,0M,0MM,Mexico
fox linhas aereas,FX,FOX,Brazil
air kenya (priv),QP,,Kenya
via conectia airlines,6V,CZV,Uruguay
hebradran air services,,HBR,United Kingdom
pobeda,,PBD,Russia
city airways,E8,GTA,Thailand
norwegian long haul as,DU,NLH,Norway
ba101,,710,United Kingdom
transnusa air,M8,TNU,Indonesia
tomp airlines,ZT,T9P,Chile
fuzhou airlines,,FZA,China
sky angkor airlines (za),,SWM,Cambodia
onejet,J1,,United States
global airlines,0G,GA0,Argentina
mann yadanarpon airlines,,MYP,Burma
air vistara,UK,VTI,India
transrussiaairlines,1E,RGG,Russia
severstal air company,D2,,Russia
rexair virtuel,RR,RXR,France
westjet encore,WR,WEN,Canada
air pegasus,OP,PPL,India
international europe,9I,INE,Spain
sky regional airlines,,SKV,Canada
v air,ZV,VAX,Taiwan
cello aviation,,CLJ,United Kingdom
pouya air,,PYA,Iran
boutique air (priv),4B,BTQ,United States
flyegypt,,FEG,Egypt
volotea airways,V7,VOE,Spain
inavia internacional,Z5,IIR,Argentina
liberty airways,LE,LTY,United States
аэросервис,АЯ,,Russia
aeronautica militare,,IAM,Italy
bassaka airlines,5B,BSX,Cambodia
jetstar japan ,,JJP,Japan
skybahamas airlines,Q7,,Bahamas
uvt aero,UW,,Russia
first flying,,DAK,Japan
silver airways (3m),3M,,United States
atlasglobal ukraine,,UJX,Ukraine
boliviana de aviacion (ob),,BOV,Bolivia
us-bangla airlines,,UBG,Bangladesh
norwegian air international (d8),,IBK,Norway
ata airlines (iran),I3,,Iran
via líneas aéreas,V1,VIA,Argentina
germanxl,GX,GXG,Germany
alghanim,,KYA,United States
indonesa air aisa x,,IDX,Indonesia
fly france,FF,FRF,France
jota aviation,,ENZ,United Kingdom
europe jet,EX,EU9,France
cobalt,,FCB,Cyprus
southern airways express,,LTD,United States
orenburzhie,,ORG,Russia
world scale airlines,W3,WSS,United States
all america us,AG,SSA,United States
university of birmingham air squadron (raf),,UAY,United Kingdom
choice airways,,CSX,United States
aruba airlines,,ARU,Aruba
budgetair,1K,BG1,Germany
dynamic airways,,DYA,United States
fly one,F5,FI5,Moldova
nordica,EE,,Estonia
tez jet airlines,,TEZ,Kyrgyzstan
kush air,,KUH,South Sudan
viaair,,SRY,United States
all america bopy,0P,PYB,Paraguay
thai vietjet air,,TVJ,Thailand
gx airlines,,CBG,China
jetgo australia,JG,,Australia
air carnival,2S,,India
svyaz rossiya,7R,SJM,Russia
